id,cluster,texto
169249,3,"The thyrotropin receptor from bovine thyroid plasma membranes has been 
solubilized using lithium diiodosalicylate, and an assay to measure thyrotropin 
binding to the solubilized receptor has been developed. Both the solubilized 
thyrotropin receptor and the thyrotropin receptor on thyroid plasma m"
178234,5,"The results of various in vitro analyses indicate there is an active immune 
response against antigens associated with human malignancies. This immune 
response apparently can be augmented by nonspecific immunologic stimulates such 
as BCG. These agents are effective for destroying tumor when inject"
179993,3,"Previous studies have shown that cultured fibroblasts derived from patients with 
genetic defects in lysosomal acid lipase (i. e. the Wolman Syndrome and 
Cholesteryl Ester Storage Disease) are defective in their ability to hydrolyze 
the cholesteryl esters contained in plasma low density lipoprotei"
187357,0,"Addition of exogen DB-c AMP in medium of human fibroblasts culture, with 46 XX 
karyotypes, enables us to observe a high frequency of Barr bodies, about 80 or 
85%. This observation suggests that the condensation of the X chromosome in the 
form of Barr bodies depends on the level of endogen cyclic "
192600,3,"Nine active neurohypophyseal principles have been isolated and identified among 
the vertebrates. Arginine-vasotocin is the most ubiquitous, occurring in 
pituitary glands from representatives of all the major vertebrate groups. There 
is much more variation in structure among the principles that re"
196592,9,"A protein methylase III responsible for specifically methylating the cytochrome 
c in Neurospora crassa was partially characterized by using unmethylated horse 
heart cytochrome c as a substrate. This enzyme utilizes S-adenosyl-L-methionine 
as the methyl donor. An analysis of the distribution of [1"
204459,3,"De novo purine biosynthesis has been studied in lymphocyte cell lines 
established from Lesch-Nyhan patients deficient in hypoxanthine-guanine 
phosphoribosyltransferase (HGPRT), in in vitro differentiating erythroleukaemic 
cell lines cloned from cells charactistic of virus-induced murine leukaemia"
207959,4,"14 previously untreated patients with hyperlipoproteinemia type IIa according to 
Fredrickson underwent a controlled clinical trial. The study was designed to 
clarify the effects of clofibrate on the bloodlipids. All patients were willing 
to cooperate. After leaving their usual dietary habits all "
211577,7,"A material of 89 cases of upper extremity deformities, among the 3225 cleft 
patients born during the period 1950-75, and treated in the Finnish Red Cross 
Cleft Centre is presented. About two-thirds of the patients had an isolated 
cleft palate--half of the male and nearly all of the female patient"
213536,7,"Three patients are described in whom irradiation of 2750 rad or more was used in 
the management of primary brain tumours, and 21 years or more later a second 
brain tumour of a different type occurred. One of the new tumours was a 
meningioma and the other two were cerebral astrocytomas. There is e"
215035,3,"The energy relationships between cytosolic and mitochondrial metabolism were 
studied in the hearts from euthyroid, hypothyroid, and hyperthyroid rats. 
Isolated mitochondria showed high respiratory control ratios and impermeability 
to exogenous NADH. Hypo- and hyperthyroidism, respectively, result"
216895,4,"If patients with hyperlipoproteinemia type IIa are treated with diet and 
additionally over a period of two weeks with 2 grams of Clofibrate daily, the 
cholesterol-level in the serum decreases. This decrease is caused mainly by a 
reduction of the apolipoprotein B and the LDL-cholesterol in serum. "
227209,1,nan
227871,1,nan
261962,1,nan
273896,8,"Pyrimidine-purine DNAs with repeating sequences can be made to undergo a 
reversible transition to possibly a tetra-stranded complex. Physicochemical 
characterization of the new structures and model building are consistent with, 
in the case of d(TC)n-d(GA)n, a tetra-stranded complex forming by the"
281140,7,"Since experimental and clinical evidence supports some role of musculature in 
determining the form and size of facial bones during the active periods of 
growth after birth, this study addresses the same basic relationships between 
muscle and bone during the periods of active growth before birth. "
287325,7,"Various methods of diagnosing allergic factors in chronic rhinitis are 
discussed. Among the procedures which aim at detecting specific allergens, i.e. 
skin testing, RAST, and nasal provocation tests, the last mentioned, as they are 
performed directly on the shock organ, have so far been found to "
305444,9,"B cells that carry the complement receptor (CR+) were separated from B cells 
that lack the complement receptor (CR-) by velocity sedimentation or by passage 
through C-coated Sephadex columns. The kinetics of responses to bacterial 
lipopolysaccharide (LPS) in both B cell subpopulations were determ"
308321,7,"A 12-year-old girl and a 30-year-old woman had bilateral optic disk hypoplasia 
and bitemporal hemianopia. By using computed axial tomography on our patients, 
we demonstrated the absence of the septum pellucidum, which confirmed the 
diagnosis of septo-optic dysplasia, or the de Morsier syndrome."
308705,7,"Acute purulent pericarditis was treated successfully in five children between 
the ages of 27 months and 11 1/2 years during the past 5 years. The responsible 
organism was Hemophilus influenzae, type b, in two cases and Meningococcus, 
Pneumococcus, and coagulase-positive Staphylococcus aureus in o"
313731,7,"A case of a nine year and eight months old child with Kartagener's syndrome 
(triad) is described: chronic maxillary sinusitis, bronchiectasis and ""situs 
inversus totalis"". Literature is reviewed. It is important to understand 
genetical and etiology aspects of bronchiectasis. Diagnosis was conside"
323424,6,"The effect of haloperidol and apomorphine, and both drugs in combination, on the 
first steps in the synthesis of catecholamines and 5-hydroxytryptamine (5-HT) 
has been studied in three rat brain regions. The rate of formation of dopa and 
5-hydroxytryptophan (5-HTP) was studied by measuring the ac"
324229,7,"A variety of anomalies of the central nervous system are observed in trisomy 18. 
The present case describes an infant having a type II Arnold-Chiari malformation 
without spina bifida. One previous case of an Arnold-Chiari malformation was 
reported in trisomy 18 but that infant also had a lumbar m"
331948,4,"Cardiac arrhythmias during wakefulness and sleep in 15 patients with 
sleep-induced obstructive apnea, and the effect of atropine and tracheostomy on 
these arrhythmias were studied by continuous overnight Holter 
electrocardiographic, respiratory and electroencephalographic recordings. Sleep 
was c"
349563,9,"An endonuclease having EcoRI specificity is produced by bacteria containing the 
ColE1 plasmid. Such bacterial cells fail to express restriction or modification 
functions in vivo, and phage or plasmid DNA obtained from ColE1-containing cells 
has unmodified EcoRI sites that are cleaved in vitro by "
355046,1,nan
367436,1,nan
367540,1,nan
378740,1,nan
402951,9,"1. The temperature function of the myeloma IgG(K) IVA, Bence-Jones protein 
(K-type) IVA and its fragments (Fab(t), Fc'(t), VL and CL) was studied by 
thermal perturbation difference spectroscopy and circular dichroism. 2. The IgG 
and Bence-Jones protein studied were found to be capable of a fully "
409284,0,"Profound iduronate sulfatase deficiency, characteristic of the Hunter syndrome, 
has been found in cultured fibroblasts, serum, lymphocytes, and tissues of two 
clinically affected girls. The patients are karyotypically normal and have 
normal fathers; cloning of the mothers' fibroblasts did not rev"
417541,7,"A 3-year-old child diagnosed as having acute lymphatic leukemia (ALL), developed 
meningeal leukemia 36 months after the onset of the disease. He was twice 
subjected to cranial irradiation plus intrathecal methotrexate (i.t. MTX). Skull 
radiology showed bilateral gyriform calcification of both cer"
422845,4,"Nutritional factors in the aetiology of coronary heart disease, maturity-onset 
diabetes, diverticular disease and dental caries are discussed. Four principles 
for a prudent diet are suggested, namely: avoid excess intake of energy, 
increase dietary fibre intake, reduce total fat intake to approxi"
443639,0,"X-linked familial hypophosphatemic rickets (X.L.F.H.R.) is one of the D 
resistant rickets. The inheritance pattern is related to the X chromosome. Most 
constant feature is hypophosphatemia. Pathogenesis is still a subject of 
controversy. There are three main theories: a) An abnormal vitamin D met"
452602,6,"An open cross-over study of 20 patients with Parkinson's disease performed with 
two drugs containing L-dopa and a peripheral aromatic amino acid decarboxylase 
inhibitor (benserazide, carbidopa) confirmed the conclusions reached in other 
clinical trials that this combined treatment of Parkinson's "
453349,7,"Pseudodementia is the syndrome in which dementia is mimicked or caricatured by 
functional psychiatric disorders. The author describes 10 patients with 
pseudodementia and compares its clinical features with those of true dementia. 
The syndrome occurred in patients with various psychiatric diagnose"
457357,7,"The contrast sensitivity function of both eyes of subjects with functional 
amblyopia has been measured. A clinically significant difference was found 
between the amblyopic and the normal eye. It appears that the functionally 
amblyopic eye takes more information from the peripheral parts of the st"
464793,7,"The Zieve's syndrome consists of the transient association of cholestatic 
jaundice, hemolytic anemia, hyperlipemia, in a chronic alcoholic. The Authors, 
after a short introduction regarding physiopathological problems, describe and 
subsequently examine on the clinical ground a recent personal obs"
475444,7,"Acneform lesions strictly confined to a Becker's nevus were observed in a 
18-year-old man. Histologically, a granulomatous folliculitis with partial 
destruction of the epithelial root sheath and follicular cysts with focal 
penetration of keratin into the surrounding dermis were present, ruling ou"
475965,2,"The incidences of malignant melanoma recorded by 59 population-based cancer 
registries were investigated to determine the effects of racial and skin-colour 
differences. White populations exhibited a wide range of melanoma incidences and 
females commonly, though not invariably, had a higher incide"
489960,1,nan
497808,1,nan
508371,1,nan
509687,1,nan
527972,0,"The pattern of association of acrocentric chromosomes was examined in ten and 
five carriers of a 15/21 and a 13/14 Robertsonian translocation, respectively, 
and was compared with that of the same numbers of relatives with normal 
karyotypes. In the carriers of 15/21 translocation, the number of la"
529328,7,"A case of pulmonary pseudolymphoma and Sjogren syndrome is presented. Unusually, 
the lung involvement preceded the salivary disease by more than two years. The 
initial gammopathy and abnormal serologies are more consistent with 
uncomplicated Sjogren syndrome, but were present when the pseudolymph"
539757,7,"Blepharospasm is a cranial nerve dysfunction in which involuntary and 
uncontrollable forcible lid closure occurs. Surgical treatment is far from 
ideal, but the condition can be improved by sectioning the branches of the 
facial nerve plexus which supply the orbicularis oculi, the frontalis and 
co"
541897,3,"Heat production of isolated brown-fat cells by addition of noradrenaline and 
glucagon was measured in warm-acclimated control, cold-acclimated and 
heat-acclimated rats by use of a twin-type conduction microcalorimeter. 
Noradrenaline and glucagon induced maximum heat production per 10(6) cells in "
557175,7,"Forty-five patients with aneurysms of the anterior cerebral artery distal to the 
anterior communicating artery were operated on by a direct approach method in 
the years 1960-1973. The incidence of aneurysms in this location was 4.8% of the 
total 1,000 aneurysms. It is of upmost importance in the "
578375,6,"Triiodothyronine (T3) toxicity has been well documented in adults, but only 
isolated cases have been reported in children. Two girls presented with firm 
goitres and overt hyperthyroidism. In each patient, total serum thyroxine (T4) 
values by competitive protein binding were normal, however total "
589307,4,"The usefulness of blood enzyme determinations as markers of liver necrosis was 
tested in 100 alcoholics who underwent biopsy during clinical investigation. 
Mean values of glutamate dehydrogenase (GDH), serum aspartate and alanine 
transferase (SGOT and SGPT), ornithine carbamoyltransferase (OCT), "
595894,9,"Previous experiments to separate the amylase and ""invertase"" of honey by 
chromatography on sephadex-gels were unsuccesful. It was shown that 
honey-amylase, -like amylases form other sources -- has hydrophobic properties. 
Therefore it was possible to separate amylase-activity from other activities"
596247,4,"Serum lipids and thyroxine were determined in 26 men participating in a 90-km 
cross-country ski race, before, immediately after, and on the following days. 
Serum cholesterol was unchanged immediately after the race, but then fell 
significantly and remained low during the observation period. Durin"
619228,1,nan
619442,1,nan
623681,1,nan
631693,1,nan
656568,8,"Thermoplasma acidophilum, a thermophilic mycoplasma, has several unusual 
features suggesting a possible relationship to eukaryotic cells. One feature is 
a histone-like protein that is associated with the DNA, condensing it into 
subunits similar to those in eukaryotic chromatin. A second feature i"
659256,0,"Estimates of the newborn frequency of cystic fibrosis in different Caucasian 
groups range from 4 times more to 40 times less common than the generally 
accepted figure of 1:2000. Current meconium screening trials which may be 
effective in populations with the incidence equal to or greater than 1:2"
667214,8,"There are many procaryotic and eucaryotic organisms in plant kingdom. It is 
hoped that the study of plant histones will be useful in evolutionary studies. 
The histones of great variety of animal species have been studied and well 
characterized. Less information is available concerning plant histo"
680606,7,"Twenty-one patients with dermatitis herpetiformis have been on a gluten free 
diet regularly followed up for at least one year (mean four years). Eighteen 
patients had a 'flat' mucosal appearance (grade III), one patient had moderately 
severe mucosal abnormality (grade II), one patient had mild mu"
697225,0,"Seven women in three generations of a family have been affected by Turner 
syndrome. Turner phenotype in this family is the result of deletion of the 
entire short arm of one X chromosome. The short arm deletion is transmitted by 
carriers of a balanced X-1 translocation. Autoradiographic findings s"
698128,3,"Four amphipathic drugs, primaquine, propranolol, chlorpromazine and tetracaine, 
were used to cause endocytosis in glucose-depleted red cells, and the relative 
reduction of membrane surfaces was measured by the toluidine blue (TB) method. 
The TB measurements correlated well with the observed elect"
708596,7,"PUVA therapy successfully cleared various dermatoses mainly confined to the 
palms and soles in 18 of 20 patients treated. The conditions treated were: 
plaque-type psoriasis, pustular psoriasis, endogenous eczema and persistent 
palmoplantar pustulosis. Seventeen patients were treated in a controll"
717321,7,"Forty-six cases of basilar skull fractures in children were reviewed to 
determine the incidence of CNS infection following injury and the possible value 
of antimicrobial chemoprophylaxis. The clinical course of the children who were 
treated with antibiotics was compared with that of patients who "
729003,8,"During the late stage of adenovirus 2 infection, RNA chains are initiated at a 
site near coordinate 16 (Evans et al., 1977) and transcribed approximately 
30,000 nucleotides to the far end of the genome at coordinate 100. Late mRNAs 
processed from these transcripts contain a common spliced tripart"
729595,9,"1. Decapped tobacco mosaic virus (TMV) RNA and rabbit globin mRNA were prepared 
by enzymic treatment of RNAs with nucleotide pyrophosphatase purified from 
potato. The extent of removal of 5'-terminal 7-methylguanosine 5'-monophosphate 
(m7GMP) from TMV RNA was at least 97% as estimated by labeling"
730866,7,"Necrobiosis lipoidica is a skin disorders with an interesting predisposition for 
areas of trauma such as the anterior shins. In this report a patient with 
diabetes mellitus and generalized necrobiosis lipoidica diabeticorum with 
localization in surgical scars is described. A brief review of other"
732079,4,"The activity of the pituitary hormones (ACTH, STH, TTH, FSH, LH), the adrenal 
hormones (cortisol, aldosterone), the kidney hormone (renin), and the thyroid 
hormones (thyroxine tri-iodthyronine), the thyroxine binding capacity of blood 
proteins and the activity of the hormones of the pancreas (ins"
737550,6,"Twenty-four hours after a tetracycline injection, the unimpeded, and more 
rapidly erupting, mouse mandibular incisor contained 20% to 44% more 
tetracycline than the contralateral, uncut incisor. It was concluded that the 
increased tetracycline incorporation reflected a higher rate of mineralizati"
750548,1,nan
754871,1,nan
759736,1,nan
776440,1,nan
806773,7,"Virological and serological methods were used in examination of 28 patients 
suffering from subacute thyroiditis de Quervain. Attempts to isolate a presumed 
viral agent from 8 patients were performed by inoculation of serum, urine, and 
aspiration biopsies of thyroid glands taken at different stage"
807555,3,"When observed in the electron microscope intact gas vesicles appeared as 
transparent areas in whole cells of Microcylus aquaticus, whereas vesicles 
collapsed by centrifugation were not discernible. Within 5 min of suspending 
cells containing collapsed vesicles in growth medium, small transparent "
812306,9,"It was shown in the passive hemagglutination test (PHAT) with a type-specific 
somatic antigen on 147 carriers of toxigenic diphtheria bacilli that the PHAT 
titres of 1/80 and over were determined in 64% of bacteria. In the process of 
carrier state of toxigenic bacteria antimicrobial antibodies we"
838566,0,"In a survey in Israel of 50 patients with Wilson's disease, it was found that 
this disease occurred in all ethnic groups. In the Arab patients there was a 
significantly early age of onset and the disease followed a more severe course 
than that in the Jewish patients. The overall sex ratio of pati"
839237,6,"Rats with parasagittal incised wounds of the telencephalon were treated for 1,7, 
21 or 56 days with triiodothyronine (T3), 0.5 mug/100 g body weight, injected 
once daily. Controls were injected with the aqueous solution in which the T3 was 
dissolved. The brains were examined histologically and qu"
841409,7,"Regurgitation of food by rumination has rarely been reported in latency-age 
children. A 7-year-old boy had symptoms of rumination, gagging, bruxism, and 
enuresis. During the oppositional stage of development many unresolved conflicts 
had developed between the patient and his parents. Short-term p"
842709,6,"The weight-reducing property of molindone, a recently introduced antipsychotic 
drug, was tested in 9 hospitalized chronic schizophrenic patients. There was an 
average weight loss of 7.6 kg after 3 months on molindone; most of the loss 
occurred during the first month. The mechanism producing this "
848258,7,"In the rabbit intestine Peyer's patches can easily be distinguished. They are 
found in the jejunum and ileum, but not in the duodenum. The highest number 
observed is seven. In most animals the first, i.e. proximally situated patch has 
a rather well-defined place in the beginning of the jejunum; s"
871409,3,"Zieve's syndrome (ZS), which consists of transient haemolytic anaemia, jaundice, 
hyperlipoproteinaemia, and alcohol-induced liver disease, was studied in male 
patients during the acute (n = 20) and the remittent (n = 10) phase. Chronic 
alcoholics (n = 10) without haemolysis and healthy male perso"
876685,7,"Hutchinson's melanotic freckle (lentigo maligna) is a well-known pigmented 
lesion, usually seen on the face of white patients. It may be associated with 
invasive malignant melanoma. This paper reports the incidence of this lesion in 
association with invasive malignant melanomas of the feet and ha"
880738,1,nan
881573,1,nan
889425,1,nan
891079,1,nan
895593,1,nan
904693,1,nan
921453,7,"Gardner-Diamond's syndrome, or autoerythrocyte sensitization, is a disorder of 
spontaneous, painful ecchymoses whose pathogenesis is unresolved. The role of 
psychopathologic factors in this entity has been emphasized in previous reports. 
The patient in this study had a classical history and chara"
937227,4,"In the first part of this study, the effect of four isocaloric mixed breakfast 
meals on the blood glucose and urinary glucose losses was tested in nine adult 
diabetics and in three healthy subjects, ages 60 to 75. Three of the test meals 
consisted of a base diet supplemented with applesauce sweet"
939547,0,"The formal genetics of Fanconi's anemia were investigated on the basis of 21 
families from different European countries, and of 69 families from the 
literature.
CONCLUSIONS: 1. The result of segregation analysis is compatible with the 
hypothesis of a simple autosomal recessive mode of inheritance"
956186,9,"The 5' termini of many viral and cellular mRNAs contain sequences of the type 
m7G(5"")pppNm. An RNA (guanine-7-)-methyltransferase that specifically methylates 
the 5'-terminal guanosine residue of RNAs ending in the dinucleoside 
triphosphate G(5')pppN- has been purified from the cytoplasm of HeLa "
958900,4,"In 22 patients with hepatic or renal insufficiency the serum concentrations of 
trijodothyronin, thyroxine and thyrotropin and also the T4-binding capacity of 
TBG were determined. The mean serum T3 concentration was found to be 
significantly lower in patients with hepatic coma when compared with e"
962510,3,"In 134 out of 180 perirenal fat samples (74%) derived from Japanese necropsy 
cases aged from 1 month to 86 years, the brown fat tissue persisted in variable 
amounts. Brown fat cells were classified into 6 types: Type 1 cells are 
fat-depleted cells filled with granular cytoplasm and are believed t"
964994,0,"A 3-year-old child with tertiary trisomy (14 (+14q--), daughter of a mother with 
a balanced reciprocal translocation [46,XX,t(14;16)(q11;q24) is presented. 
Craniostenosis and developmental retardation were the primary presenting 
features in this patient."
966632,4,"In 11 patients with alcohol-induced hyperlipemia, of whom 6 showed a Zieve 
Syndrome increased phospholipids, triglycerides and total cholesterol were found 
in the red cells stromal. The gasliquid chromatographic analysis of the 
phospholipid fatty acids showed increased contents of saturated and 
"
991106,5,"Vincristine, actinomycin D, and cyclophosphamide (VAC) were administered to 14 
patients with Ewing's sarcoma. The primary tumors were treated with radiation 
therapy and concurrent chemotherapy. Nine patients had no visible metastases at 
diagnosis: two died following the development of pulmonary m"
995018,0,"A case is reported in which features of pseudohypoparathyroidism were found in 
association with the cri du chat syndrome. This association may throw some light 
on the localization of the chromosomal abberration which underlies 
pseudohypoparathyroidism, since deletion of the short arm of chromosom"
999108,4,"Thirty-eight patients with chronic renal insufficiency who were in a dialysis 
program underwent studies of thyroid function and metabolic status. Mean values 
for serum total and free thyroxine (T4) concentrations and thyroxine-binding 
globulin capacity were within normal limits. Although mean ser"
1002690,8,"Characterization of the donor and acceptor specificities of mRNA 
guanylyltransferase and mRNA (guanine-7-)-methyltransferase isolated from 
vaccinia virus cores has enabled us to discriminate between alternative reaction 
sequences leading to the formation of the 5'-terminal m7G(5')pppN-structure. "
1006494,7,"A quarter of a century ago Professor C. F. M. Saint of the University of Cape 
Town noted the occasional association of diverticular disease, hiatus hernia, 
and gallstones in a patient. The occurrences of these diseases, and the 
significance of their associations, are discussed. The suggestion is "
1031540,1,nan
1031954,1,nan
1067597,3,"The three-dimensional structure of erabutoxin b, a neurotoxin in the venom of 
the sea snake Laticauda semifasciata, has been determined from a 2.75 A 
resolution electron density map. Erabutoxin b is one of a family of snake venom 
neurotoxins, all low-molecular-weight proteins, which block neuromu"
1079649,7,"We report upon a case of total retraction of an electrode (Twiddler syndrom) in 
an infected pacemaker battery. The silk-thread fixation was still fastened at 
the right place on the electrode; the tissue owing to the inflammation was no 
longer sufficient as a fixation point. The casues of this tot"
1083874,5,"A Sephadex G-10 column coated with antigen-antibody complexes and complement 
retains complement receptor-bearing (CR+) mouse spleen cells. The effluent is 
rich in thymus-derived cells (T cells), and contains bone marrow-derived cells 
(B cells) which carry surface immunoglobulin (Ig), Ir-associate"
1084238,0,"Three patients with Fanconi's anemia were analyzed for chromosome breaks. T and 
B cells were separated and grown in tissue culture with PHA and pokeweed antigen 
to ascertain the rates of breakage in these lymphocytic subpopulations. It has 
been found that there is no statistically significant dif"
1122928,3,"Reversible haemolytic anaemia associated with decreased red cell half-life and 
reticulocytosis was studied in 10 patients with Zieve's syndrome. Since the 
underlying cause of the red cell destruction is as yet unknown, we determined 
the critical metabolic functions of the red cells in order to de"
1128606,0,"To characterize further the genetic basis of progeria, thermolability studies 
were performed on three genetically distinct enzymes in crude extracts of 
cultured skin fibroblasts derived from two subjects with that syndrome. At early 
passage the progeric fibroblasts, as compared to controls, conta"
1135705,2,"Malignant melanoma of the skin in Blacks in formidable and sinister tumour. This 
study is concerned with the epidemiology of malignant melanoma, as seen in both 
urban and rural Black Africans. A smaller series in which follow-up on the 
patients was available is included. To our knowledge, this is"
1138394,2,"Follow-up data (over a 3-year period) and the histological appearances of 
primary lesion were studied and related in 40 Black patients with malignant 
melanoma. This to our knowledge is the first study in Black African patients. It 
was found that they present with large deeply invasive lesions, pa"
1147889,1,nan
1156726,1,nan
1159063,1,nan
1163864,1,nan
1171419,1,nan
1180050,7,"The author experienced a case of subacute thyroiditis (de Quervain) in a 
36-year-old female. Electron microscopic examination of the thyroid tissue of 
the patient revealed virus-like particles (VLP) in the degenerated follicular 
epithelium Judging from the size, the VLP corresponded to the influe"
1188317,0,"Severe red cell glucose-6-phosphate dehydrogenase (G-6-PD) deficiency has been 
found in an 'aboriginal' Finnish family. 2 male and 9 female carriers of the 
variant G-6-PD were studied. The genetic pattern is consistent with x-linked 
recessive inheritance and the defect is associated with drug (pr"
1193013,3,"A protein that binds tetraiodothyroacetic acid (tetrac) with high specificity 
has been detected in normal rabbit serum. Scatchard plots revealed the protein 
to have a principal binding site with both high capacity and high affinity for 
tetrac (KA 4.8 X 10(10) M-1. Binding of tetrac by the protein"
1213878,3,"Mitochondrial membranes reconstituted from lipid-depleted mitochondria and 
aqueous phospholipid dispersions still have the phospholipid negative charges 
available for ionic interaction with the basic protein, lysozyme. The 
stoichiometry of the binding is of about 6 nmoles of lysozyme per 100 nmol"
1217221,7,"The macroscopic and microscopic findings of a case of Zieve's syndrome are 
described (fatty liver, icterus, hyperlipemia and hemolytic anemia in chronic 
alcoholism). The outstanding macroscopic finding is milky turbidity of the blood 
in arterial and venous vascular channels as well as hepatomegal"
1224004,6,"The effect of molindone on the activity of dopaminergic (DA) neurons in the rat 
midbrain and on DA metabolism in the striatum and olfactory tubercles was 
studied using extracellular single unit recording and biochemical techniques 
respectively. Molindone in low intravenous doses (0.4-0.8 mg/kg) w"
1225290,0,"Wallaroos (Macropus robustus robustus), which have the G6PD-F electrophoretic 
phenotype, crossed with euros (M.r.erubescens), of G6PD-S phenotype, produced F1 
animals which had only the maternal G6PD type regardless of the direction of the 
cross. When F1 hybrids were backcrossed to wallaroos or e"
1240972,0,"A 7-year-old girl was admitted to the hospital for anaemia, secondary to 
intestinal blood los (melaena). She was found to have 45,X Turner's syndrome. 
Her identical twin sister also had Turner's syndrome with a 45,X chromosome 
complement. According to various criteria the probability of monozygos"
1244548,5,"Despite current surgical therapy, about 80 per cent of patients with malignant 
melanoma metastatic to lymph nodes succumb to systemic metastatic disease. To 
determine if postoperative adjuvant immunization with BCG was an effective 
systemic treatment in these patients with microscopic subclinical"
1247555,3,"1. Mitochondria, inner and outer mitochondrial membranes and microsomes were 
isolated and purified from pig heart. Their lipid composition and protein 
components were studied. 2. The fatty acid distribution in the main 
phospholipids seemed specific rather of a given phospholipid and not of one ty"
1248830,0,"Dermatoglyphics of 11 patients with Wilson's disease and 16 of their clinically 
asymptomatic relatives of first degree were investigated; 11 of the latter ones 
were heterozygous in agreement with the turn over rates of Cu-67, 12 under the 
assumption of autosomal recessive inheritance. On the fing"
1281815,1,nan
1281842,1,nan
1282192,1,nan
1283315,1,nan
1286503,1,nan
1290288,1,nan
1292416,1,nan
1293183,1,nan
1294876,1,nan
1295944,1,nan
1296572,1,nan
1297177,1,nan
1301951,1,nan
1304158,1,nan
1309715,1,nan
1309939,1,nan
1310509,1,nan
